id,domain,code,label_es,description,sort_order,is_active,metadata_json,created_at,updated_at
019e296d-44b8-7702-a6d4-5bb65b98d42e,ncf_types,B01,Factura de Crédito Fiscal,Transacciones entre contribuyentes registrados. Genera crédito ITBIS.,0,true,"{""serie"": ""B"", ""tipo_code"": ""01""}",2026-05-15 02:18:07.41694+00,2026-05-15 02:18:07.416943+00
019e296d-44f5-7022-b6c1-3f5e6352dbf9,ncf_types,B02,Factura de Consumo,Ventas a consumidores finales. No genera crédito ITBIS.,1,true,"{""serie"": ""B"", ""tipo_code"": ""02""}",2026-05-15 02:18:07.477463+00,2026-05-15 02:18:07.477466+00
019e296d-4531-7730-873d-82a754dae644,ncf_types,B03,Nota de Débito,"Aumenta monto de comprobante anterior (intereses, fletes, ajustes).",2,true,"{""serie"": ""B"", ""tipo_code"": ""03""}",2026-05-15 02:18:07.537224+00,2026-05-15 02:18:07.537227+00
019e296d-456d-76c3-a173-74d4b7ea72f4,ncf_types,B04,Nota de Crédito,"Reduce monto de comprobante anterior (devoluciones, descuentos, anulaciones).",3,true,"{""serie"": ""B"", ""tipo_code"": ""04""}",2026-05-15 02:18:07.597068+00,2026-05-15 02:18:07.597071+00
019e296d-45a8-7ba3-a2ae-b5e177aa4dbd,ncf_types,B11,Comprobante de Compras,Lo emite el comprador cuando el proveedor no tiene RNC (informal).,4,true,"{""serie"": ""B"", ""tipo_code"": ""11""}",2026-05-15 02:18:07.657021+00,2026-05-15 02:18:07.657024+00
019e296d-45e4-7393-9304-76388c5f7c3d,ncf_types,B12,Registro Único de Ingresos (RUI),Resumen diario de transacciones con consumidores finales (bienes exentos ITBIS).,5,true,"{""serie"": ""B"", ""tipo_code"": ""12""}",2026-05-15 02:18:07.716835+00,2026-05-15 02:18:07.716838+00
019e296d-4625-7ab0-b38d-a35b6b2e08b5,ncf_types,B13,Comprobante para Gastos Menores,Gastos pequeños del personal de la empresa (caja chica).,6,true,"{""serie"": ""B"", ""tipo_code"": ""13""}",2026-05-15 02:18:07.781262+00,2026-05-15 02:18:07.781264+00
019e296d-4660-75f1-9d30-67d8e527e0e9,ncf_types,B14,Comprobante para Regímenes Especiales,"Ventas a zonas francas, turismo y otros regímenes con exención.",7,true,"{""serie"": ""B"", ""tipo_code"": ""14""}",2026-05-15 02:18:07.84078+00,2026-05-15 02:18:07.840783+00
019e296d-469e-74e2-baf4-68cb769377a3,ncf_types,B15,Comprobante Gubernamental,"Ventas al Gobierno Central, instituciones autónomas y Seguridad Social.",8,true,"{""serie"": ""B"", ""tipo_code"": ""15""}",2026-05-15 02:18:07.902561+00,2026-05-15 02:18:07.902564+00
019e296d-46da-7613-8b03-05c28f097c10,ncf_types,B16,Comprobante para Exportaciones,Ventas fuera del territorio dominicano. Tasa 0% ITBIS.,9,true,"{""serie"": ""B"", ""tipo_code"": ""16""}",2026-05-15 02:18:07.962174+00,2026-05-15 02:18:07.962177+00
